,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
0,Quentin Bonnaud,12,83,6.92,15,1.25,14,1.17,101,8.42,208,17.33,96.30,284,23.67
1,Rowan McDonnell,13,67,5.15,51,3.92,5,0.38,92,7.08,408,31.38,93.80,359,27.62
2,Ben Jagt,15,67,4.47,64,4.27,14,0.93,111,7.40,287,19.13,91.40,379,25.27
3,Max Sheppard,14,61,4.36,68,4.86,9,0.64,103,7.36,295,21.07,91.00,337,24.07
4,Eli Jaime,10,52,5.20,12,1.20,4,0.40,61,6.10,101,10.10,95.30,211,21.10
5,Conor Kline,15,52,3.47,12,0.80,3,0.20,60,4.00,79,5.27,95.20,234,15.60
6,Sean Ham,12,50,4.17,6,0.50,2,0.17,52,4.33,125,10.42,96.20,283,23.58
7,Rick Gross,13,46,3.54,20,1.54,5,0.38,62,4.77,214,16.46,96.80,290,22.31
8,Henry Fisher,9,43,4.78,14,1.56,1,0.11,55,6.11,173,19.22,98.30,193,21.44
9,Jay Boychuk,11,42,3.82,29,2.64,5,0.45,58,5.27,280,25.45,95.90,270,24.55
10,Joc Jimenez,13,42,3.23,17,1.31,9,0.69,56,4.31,132,10.15,93.60,270,20.77
11,Bradley Seuntjens,12,42,3.50,8,0.67,9,0.75,52,4.33,153,12.75,95.60,326,27.17
12,Bryan Vohnoutka,12,42,3.50,30,2.50,6,0.50,55,4.58,194,16.17,91.50,273,22.75
13,Cameron Brock,13,41,3.15,14,1.08,1,0.08,41,3.15,189,14.54,93.10,280,21.54
14,Himalaya Mehta,11,41,3.73,5,0.45,9,0.82,39,3.55,151,13.73,93.20,203,18.45
15,Carson Wilder,13,41,3.15,31,2.38,8,0.62,66,5.08,173,13.31,92.50,273,21.00
16,Terrence Mitchell,13,40,3.08,14,1.08,5,0.38,47,3.62,143,11.00,94.70,247,19.00
17,Travis Dunn,13,40,3.08,57,4.38,9,0.69,81,6.23,372,28.62,94.20,346,26.62
18,Alec Arsenault,11,40,3.64,26,2.36,9,0.82,52,4.73,190,17.27,90.50,259,23.55
19,Sacha Poitte- Sokolsky,12,39,3.25,18,1.50,3,0.25,38,3.17,256,21.33,94.10,244,20.33
20,Matt Stevens,13,35,2.69,5,0.38,5,0.38,41,3.15,76,5.85,97.40,223,17.15
21,Jeff Babbitt,15,35,2.33,5,0.33,22,1.47,58,3.87,110,7.33,97.30,314,20.93
22,Levi Jacobs,14,34,2.43,37,2.64,4,0.29,43,3.07,230,16.43,89.50,289,20.64
23,Cameron Harris,14,34,2.43,40,2.86,9,0.64,57,4.07,284,20.29,92.50,315,22.50
24,Nathan Hirst,12,33,2.75,34,2.83,4,0.33,46,3.83,190,15.83,89.60,244,20.33
25,Matt Smith,12,33,2.75,23,1.92,8,0.67,50,4.17,264,22.00,96.00,279,23.25
26,Thomas Edmonds,12,32,2.67,43,3.58,5,0.42,54,4.50,670,55.83,96.50,250,20.83
27,Jeremy Hill,11,32,2.91,16,1.45,14,1.27,40,3.64,148,13.45,89.20,248,22.55
28,Danny Landesman,10,32,3.20,13,1.30,4,0.40,44,4.40,108,10.80,97.30,174,17.40
29,Jacob Fairfax,13,31,2.38,41,3.15,8,0.62,65,5.00,189,14.54,94.00,296,22.77
30,Sean McDougall,13,31,2.38,49,3.77,11,0.85,70,5.38,206,15.85,92.80,288,22.15
31,Jacob Fairfax,13,31,2.38,41,3.15,8,0.62,65,5.00,189,14.54,94.00,296,22.77
32,Peter Geertz-Larson,8,30,3.75,5,0.63,1,0.13,31,3.88,52,6.50,91.20,146,18.25
33,Jimmy Towle,13,30,2.31,13,1.00,10,0.77,39,3.00,164,12.62,94.80,257,19.77
34,Andrew Sjogren,10,29,2.90,6,0.60,5,0.50,32,3.20,143,14.30,97.30,226,22.60
35,Jay Froude,13,29,2.23,29,2.23,13,1.00,54,4.15,140,10.77,92.10,256,19.69
36,Wes Groth,13,29,2.23,29,2.23,7,0.54,47,3.62,136,10.46,89.50,235,18.08
37,Brad Houser,8,29,3.63,18,2.25,3,0.38,35,4.38,163,20.38,92.10,193,24.13
38,Quinn Snider,5,29,5.80,6,1.20,4,0.80,37,7.40,47,9.40,95.90,126,25.20
39,Michael Pardo,8,29,3.63,4,0.50,1,0.13,24,3.00,104,13.00,92.00,161,20.13
